business_description,nic_code,nic_description
Our business specializes in manufacture of wearing apparel n.e.c..,14109,Manufacture of wearing apparel n.e.c.
We provide services related to manufacture of wearing apparel n.e.c..,14109,Manufacture of wearing apparel n.e.c.
We are engaged in manufacture of wearing apparel n.e.c. in our region.,14109,Manufacture of wearing apparel n.e.c.
Our business specializes in manufacture of wearing apparel and clothing accessories made of fur.,14201,Manufacture of wearing apparel and clothing accessories made of fur
We provide services related to manufacture of wearing apparel and clothing accessories made of fur.,14201,Manufacture of wearing apparel and clothing accessories made of fur
We are engaged in manufacture of wearing apparel and clothing accessories made of fur in our region.,14201,Manufacture of wearing apparel and clothing accessories made of fur
Our business specializes in manufacture of fur and skin rugs and other similar articles.,14202,Manufacture of fur and skin rugs and other similar articles
We provide services related to manufacture of fur and skin rugs and other similar articles.,14202,Manufacture of fur and skin rugs and other similar articles
We are engaged in manufacture of fur and skin rugs and other similar articles in our region.,14202,Manufacture of fur and skin rugs and other similar articles
Our business specializes in manufacture of other fur products n.e.c..,14209,Manufacture of other fur products n.e.c.
We provide services related to manufacture of other fur products n.e.c..,14209,Manufacture of other fur products n.e.c.
We are engaged in manufacture of other fur products n.e.c. in our region.,14209,Manufacture of other fur products n.e.c.
Our business specializes in manufacture of knitted or crocheted wearing apparel and other made-up.,14301,Manufacture of knitted or crocheted wearing apparel and other made-up
We provide services related to manufacture of knitted or crocheted wearing apparel and other made-up.,14301,Manufacture of knitted or crocheted wearing apparel and other made-up
We are engaged in manufacture of knitted or crocheted wearing apparel and other made-up in our region.,14301,Manufacture of knitted or crocheted wearing apparel and other made-up
Our business specializes in manufacture of other knitted and crocheted apparel including hosiery.,14309,Manufacture of other knitted and crocheted apparel including hosiery
We provide services related to manufacture of other knitted and crocheted apparel including hosiery.,14309,Manufacture of other knitted and crocheted apparel including hosiery
We are engaged in manufacture of other knitted and crocheted apparel including hosiery in our region.,14309,Manufacture of other knitted and crocheted apparel including hosiery
Our business specializes in flaying and curing of raw hides and skins.,15111,Flaying and curing of raw hides and skins
We provide services related to flaying and curing of raw hides and skins.,15111,Flaying and curing of raw hides and skins
We are engaged in flaying and curing of raw hides and skins in our region.,15111,Flaying and curing of raw hides and skins
Our business specializes in tanning and finishing of sole leather.,15112,Tanning and finishing of sole leather
We provide services related to tanning and finishing of sole leather.,15112,Tanning and finishing of sole leather
We are engaged in tanning and finishing of sole leather in our region.,15112,Tanning and finishing of sole leather
Our business specializes in tanning and finishing of industrial leather.,15113,Tanning and finishing of industrial leather
We provide services related to tanning and finishing of industrial leather.,15113,Tanning and finishing of industrial leather
We are engaged in tanning and finishing of industrial leather in our region.,15113,Tanning and finishing of industrial leather
"Our business specializes in scraping, currying, tanning, bleaching, shearing and plucking and dyeing of.",15114,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of"
"We provide services related to scraping, currying, tanning, bleaching, shearing and plucking and dyeing of.",15114,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of"
"We are engaged in scraping, currying, tanning, bleaching, shearing and plucking and dyeing of in our region.",15114,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of"
"Our business specializes in finishing of upper leather, lining leather and garment leather etc..",15115,"Finishing of upper leather, lining leather and garment leather etc."
"We provide services related to finishing of upper leather, lining leather and garment leather etc..",15115,"Finishing of upper leather, lining leather and garment leather etc."
"We are engaged in finishing of upper leather, lining leather and garment leather etc. in our region.",15115,"Finishing of upper leather, lining leather and garment leather etc."
Our business specializes in embroidering and embossing of leather articles.,15116,Embroidering and embossing of leather articles
We provide services related to embroidering and embossing of leather articles.,15116,Embroidering and embossing of leather articles
We are engaged in embroidering and embossing of leather articles in our region.,15116,Embroidering and embossing of leather articles
"Our business specializes in other tanning, curing, finishing, embossing etc. of leather.",15119,"Other tanning, curing, finishing, embossing etc. of leather"
"We provide services related to other tanning, curing, finishing, embossing etc. of leather.",15119,"Other tanning, curing, finishing, embossing etc. of leather"
"We are engaged in other tanning, curing, finishing, embossing etc. of leather in our region.",15119,"Other tanning, curing, finishing, embossing etc. of leather"
